VIRAT_S_010111_06_000820_000860,82,81,a red car parked near a white car
VIRAT_S_010111_06_000820_000860,82,81,a red color car parked with another white color car
VIRAT_S_010111_06_000820_000860,82,81,a red car parked beside of a light red car
VIRAT_S_010111_06_000820_000860,81,82,a white car parked next to a red car
VIRAT_S_010111_06_000820_000860,81,82,a red car parked close to a red car at a parking lot
VIRAT_S_010111_06_000820_000860,81,82,a white car parked by a red car
VIRAT_S_010111_06_000820_000860,89,79,a grey car parked left side of a white car
VIRAT_S_010111_06_000820_000860,89,79,a black color car parked side by side with another white color car
VIRAT_S_010111_06_000820_000860,89,79,a silver sedan parked next to a silver hatchback at a parking lot
VIRAT_S_010111_06_000820_000860,79,89,a white colour suv parking near the grey colour car
VIRAT_S_010111_06_000820_000860,79,89,a white car parked next to grey car
VIRAT_S_010111_06_000820_000860,79,89,a white car parked near a grey car on a public parking
VIRAT_S_010111_06_000820_000860,93,95,a white sedan car parked second to the right of the black sedan car
VIRAT_S_010111_06_000820_000860,93,95,a white color car parked side by side with another black color car
VIRAT_S_010111_06_000820_000860,93,95,white car standing near a black car
VIRAT_S_010111_06_000820_000860,95,93,a black car parked by a white car
VIRAT_S_010111_06_000820_000860,95,93,a black parked together with a white car
VIRAT_S_010111_06_000820_000860,95,93,a black car parked nearby a parked white car
VIRAT_S_010111_06_000820_000860,96,51,a black car parking in front of a white car
VIRAT_S_010111_06_000820_000860,96,51,a black color car parked face to face with another white color suv
VIRAT_S_010111_06_000820_000860,96,51,a black vehicle facing a white vehicle
VIRAT_S_010111_06_000820_000860,51,96,a white car between black cars parked in front of a grey car
VIRAT_S_010111_06_000820_000860,51,96,a white van parked in front of a black pickup truck
VIRAT_S_010111_06_000820_000860,51,96,a white colour suv parking opposite to the black colour suv
VIRAT_S_010111_07_000872_000909,17,85,a white covered van oppositely placed to silver color car
VIRAT_S_010111_07_000872_000909,17,85,a white color truck parked before a silver color car
VIRAT_S_010111_07_000872_000909,17,85,a white truck parked near silver car
VIRAT_S_010111_07_000872_000909,85,17,a grey hatchback parked close to a white cargo van at a parking lot
VIRAT_S_010111_07_000872_000909,85,17,a grey jeep parked nearby a white truck
VIRAT_S_010111_07_000872_000909,85,17,a silver suv parked behind of a white cargo truck
VIRAT_S_010111_07_000872_000909,19,18,a black car parking beside a parked grey car
VIRAT_S_010111_07_000872_000909,19,18,a black color suv parked side by side with another silver color car
VIRAT_S_010111_07_000872_000909,19,18,black jeep standing next to a gray car
VIRAT_S_010111_07_000872_000909,18,19,a silver car parked by a black suv
VIRAT_S_010111_07_000872_000909,18,19,a grey sedan parked next to a black minivan at a parking lot
VIRAT_S_010111_07_000872_000909,18,19,a silver car parked beside a black car
VIRAT_S_010111_07_000872_000909,2,1,a grey car parked in sunlight near to a silver car parked in shadow
VIRAT_S_010111_07_000872_000909,2,1,a gray color car parked side by side with another white color car
VIRAT_S_010111_07_000872_000909,2,1,a gray car parked near a silver car
